month,device,cpc,cvr,roas,cost,season,currencyCode
2024-09-01,Mobile,0.992,0.0034,6.32,2879.32,Fall,CAD
2024-09-01,Desktop,6.263,0.0113,3.197,1108.48,Fall,CAD
2024-09-01,Tablet,2.513,0.0,0.0,67.84,Fall,CAD
2024-10-01,Mobile,2.63,0.0045,3.455,31298.73,Fall,CAD
2024-10-01,Desktop,7.218,0.0108,3.116,18787.23,Fall,CAD
2024-10-01,Tablet,4.614,0.0037,1.331,1938.04,Fall,CAD
2024-11-01,Mobile,3.089,0.0062,4.001,26170.99,Fall,CAD
2024-11-01,Desktop,7.746,0.0142,3.931,19079.48,Fall,CAD
2024-11-01,Tablet,3.639,0.0056,3.01,1298.99,Fall,CAD
2024-12-01,Mobile,2.321,0.0035,3.557,27681.64,Winter,CAD
2024-12-01,Desktop,7.474,0.0153,4.395,16794.42,Winter,CAD
2024-12-01,Tablet,2.025,0.0048,6.404,1253.59,Winter,CAD
2025-01-01,Mobile,2.086,0.0033,3.406,27309.48,Winter,CAD
2025-01-01,Desktop,6.793,0.0114,3.904,15827.18,Winter,CAD
2025-01-01,Tablet,2.134,0.0075,7.139,1139.37,Winter,CAD
2025-02-01,Mobile,1.981,0.0025,2.953,37099.76,Winter,CAD
2025-02-01,Desktop,7.994,0.0094,2.79,19496.79,Winter,CAD
2025-02-01,Tablet,3.74,0.0,0.0,1982.42,Winter,CAD
2025-03-01,Mobile,0.96,0.0011,2.893,48349.32,Spring,CAD
2025-03-01,Desktop,7.604,0.0107,3.415,22750.72,Spring,CAD
2025-03-01,Tablet,3.503,0.0055,3.666,2529.35,Spring,CAD
2025-04-01,Mobile,3.794,0.0072,4.641,51942.53,Spring,CAD
2025-04-01,Desktop,9.084,0.0164,4.005,29822.46,Spring,CAD
2025-04-01,Tablet,3.825,0.0015,0.765,2570.42,Spring,CAD
2025-05-01,Mobile,4.569,0.0103,5.185,68233.83,Spring,CAD
2025-05-01,Desktop,9.548,0.0177,4.12,35603.15,Spring,CAD
2025-05-01,Tablet,3.647,0.0023,1.803,3268.09,Spring,CAD
2025-06-01,Mobile,4.331,0.0102,5.385,69446.09,Summer,CAD
2025-06-01,Desktop,8.868,0.0239,5.867,32943.7,Summer,CAD
2025-06-01,Tablet,2.967,0.0084,5.622,3163.09,Summer,CAD
2025-07-01,Mobile,3.848,0.0088,5.379,78478.55,Summer,CAD
2025-07-01,Desktop,8.86,0.0165,4.216,39115.97,Summer,CAD
2025-07-01,Tablet,2.532,0.0042,3.88,3997.3,Summer,CAD
2025-08-01,Mobile,2.912,0.0051,4.021,87603.56,Summer,CAD
2025-08-01,Desktop,8.901,0.0167,4.279,34560.85,Summer,CAD
2025-08-01,Tablet,2.309,0.0047,4.319,3835.3,Summer,CAD
2025-09-01,Mobile,3.125,0.0029,2.113,74299.82,Fall,CAD
2025-09-01,Desktop,9.071,0.0156,3.806,27628.87,Fall,CAD
2025-09-01,Tablet,1.673,0.0008,1.275,3422.06,Fall,CAD
