date,cost,convValue,roas,lo,hi
2025-09-29,4225.76,7852.05,1.858,0.826,4.181
2025-09-30,4224.17,8378.9,1.984,0.882,4.463
2025-10-01,4178.83,7843.72,1.877,0.834,4.223
2025-10-02,4026.96,7068.09,1.755,0.78,3.949
2025-10-03,4184.68,7333.69,1.753,0.779,3.943
2025-10-04,4350.24,8385.86,1.928,0.857,4.337
2025-10-05,4722.2,8352.7,1.769,0.786,3.98
2025-10-06,4284.59,7613.71,1.777,0.79,3.998
2025-10-07,4282.97,8124.56,1.897,0.843,4.268
2025-10-08,4237.0,7605.63,1.795,0.798,4.039
2025-10-09,4083.02,6853.54,1.679,0.746,3.777
2025-10-10,4242.93,7111.07,1.676,0.745,3.771
2025-10-11,4410.8,8131.31,1.844,0.819,4.148
2025-10-12,4787.93,8099.15,1.692,0.752,3.806
2025-10-13,4344.23,7382.59,1.699,0.755,3.824
2025-10-14,4342.59,7877.94,1.814,0.806,4.082
2025-10-15,4295.98,7374.76,1.717,0.763,3.863
2025-10-16,4139.86,6645.5,1.605,0.713,3.612
2025-10-17,4301.99,6895.22,1.603,0.712,3.606
2025-10-18,4472.19,7884.49,1.763,0.784,3.967
2025-10-19,4854.58,7853.31,1.618,0.719,3.64
2025-10-20,4404.7,7158.5,1.625,0.722,3.657
2025-10-21,4403.04,7638.81,1.735,0.771,3.904
2025-10-22,4355.78,7150.9,1.642,0.73,3.694
2025-10-23,4197.48,6443.78,1.535,0.682,3.454
2025-10-24,4361.88,6685.92,1.533,0.681,3.449
2025-10-25,4534.45,7645.16,1.686,0.749,3.794
2025-10-26,4922.15,7614.92,1.547,0.688,3.481
2025-10-27,4466.01,6941.2,1.554,0.691,3.497
2025-10-28,4464.33,7406.93,1.659,0.737,3.733
