Month,Campaign type,Impr.,Clicks,Currency code,Cost,Conversions,Results value,Conv. value / cost,Search impr. share,Search lost top IS (budget),Search lost top IS (rank),CTR,Avg. CPC,Conv. rate
September 2024,Search,2948,206,CAD,576.63,1.00,"Purchase: 2,066.56",3.58,19.85%,10.61%,73.60%,6.99%,2.80,0.49%
September 2024,Shopping,952,6,CAD,24.94,0.00,Purchase: 0.00,0.00,--,--,--,0.63%,4.16,0.00%
September 2024,Demand Gen,4151,571,CAD,33.62,0.00,Purchase: 0.00,0.00,--,--,--,13.76%,0.06,0.00%
September 2024,Performance Max,15948,188,CAD,663.08,2.41,"Purchase: 3,097.30",4.67,--,--,--,1.18%,3.53,1.28%
October 2024,Search,91789,5599,CAD,27739.44,34.81,"Purchase: 69,075.02",2.49,21.32%,16.03%,66.50%,6.10%,4.95,0.62%
October 2024,Shopping,4752,34,CAD,139.71,0.00,Purchase: 0.00,0.00,--,--,--,0.72%,4.11,0.00%
October 2024,Demand Gen,148910,4013,CAD,1158.55,0.00,Purchase: 0.00,0.00,--,--,--,2.69%,0.29,0.00%
October 2024,Performance Max,686879,5277,CAD,22989.26,48.50,"Purchase: 100,190.69",4.36,--,--,--,0.77%,4.36,0.92%
November 2024,Search,90734,4859,CAD,23001.04,37.55,"Purchase: 77,489.64",3.37,18.68%,20.84%,66.82%,5.36%,4.73,0.77%
November 2024,Demand Gen,105405,971,CAD,1029.57,0.00,Purchase: 0.00,0.00,--,--,--,0.92%,1.06,0.00%
November 2024,Performance Max,675582,5462,CAD,22523.07,52.02,"Purchase: 106,127.15",4.71,--,--,--,0.81%,4.12,0.95%
December 2024,Search,64213,3223,CAD,17466.50,33.10,"Purchase: 72,690.93",4.16,19.41%,15.78%,72.58%,5.02%,5.42,1.03%
December 2024,Demand Gen,53993,433,CAD,835.53,0.00,Purchase: 0.00,0.00,--,--,--,0.80%,1.93,0.00%
December 2024,Performance Max,2130856,11138,CAD,27428.12,46.25,"Purchase: 107,592.87",3.92,--,--,--,0.52%,2.46,0.42%
January 2025,Search,66806,3302,CAD,16252.85,29.98,"Purchase: 67,938.54",4.18,19.25%,12.71%,75.31%,4.94%,4.92,0.91%
January 2025,Shopping,71802,325,CAD,1722.92,2.99,"Purchase: 6,954.25",4.04,--,--,--,0.45%,5.30,0.92%
January 2025,Demand Gen,81668,1851,CAD,584.62,0.00,Purchase: 0.00,0.00,--,--,--,2.27%,0.32,0.00%
January 2025,Performance Max,1203179,10478,CAD,25722.17,40.99,"Purchase: 88,051.06",3.42,--,--,--,0.87%,2.45,0.39%
February 2025,Search,108714,4610,CAD,27395.95,36.57,"Purchase: 85,493.95",3.12,30.02%,3.94%,77.80%,4.24%,5.94,0.79%
February 2025,Shopping,101889,453,CAD,2548.49,2.90,"Purchase: 7,197.26",2.82,--,--,--,0.44%,5.63,0.64%
February 2025,Demand Gen,564566,9769,CAD,4405.59,0.82,"Purchase: 1,649.20",0.37,--,--,--,1.73%,0.45,0.01%
February 2025,Performance Max,834058,6861,CAD,24231.52,28.78,"Purchase: 69,620.85",2.87,--,--,--,0.82%,3.53,0.42%
March 2025,Search,99887,5261,CAD,30423.94,38.19,"Purchase: 96,850.75",3.18,23.17%,10.67%,73.50%,5.27%,5.78,0.73%
March 2025,Shopping,127421,554,CAD,3503.23,2.28,"Purchase: 5,522.73",1.58,--,--,--,0.43%,6.32,0.41%
March 2025,Demand Gen,666017,38540,CAD,6321.44,0.31,Purchase: 724.25,0.11,--,--,--,5.79%,0.16,0.00%
March 2025,Performance Max,1215105,9748,CAD,33381.54,48.97,"Purchase: 123,768.81",3.71,--,--,--,0.80%,3.42,0.50%
April 2025,Search,119700,5846,CAD,34706.00,83.41,"Purchase: 197,101.00",5.68,22.85%,14.18%,71.24%,4.88%,5.94,1.43%
April 2025,Shopping,133557,697,CAD,6354.03,6.82,"Purchase: 15,933.33",2.51,--,--,--,0.52%,9.12,0.98%
April 2025,Demand Gen,404569,2393,CAD,4803.96,0.69,"Purchase: 1,588.67",0.33,--,--,--,0.59%,2.01,0.03%
April 2025,Performance Max,884767,8711,CAD,38484.74,62.60,"Purchase: 147,832.27",3.84,--,--,--,0.98%,4.42,0.72%
May 2025,Search,154224,8373,CAD,45772.87,105.17,"Purchase: 239,953.98",5.24,19.04%,42.76%,42.94%,5.43%,5.47,1.26%
May 2025,Shopping,246314,1206,CAD,11885.99,28.04,"Purchase: 64,422.93",5.42,--,--,--,0.49%,9.86,2.33%
May 2025,Demand Gen,357042,2103,CAD,5510.28,5.00,"Purchase: 10,977.47",1.99,--,--,--,0.59%,2.62,0.24%
May 2025,Performance Max,1116803,7943,CAD,44225.16,85.83,"Purchase: 197,088.55",4.46,--,--,--,0.71%,5.57,1.08%
June 2025,Search,143610,8688,CAD,47540.71,135.95,"Purchase: 303,090.19",6.38,17.97%,38.87%,48.64%,6.05%,5.47,1.56%
June 2025,Shopping,282564,1337,CAD,11298.62,22.60,"Purchase: 51,868.92",4.59,--,--,--,0.47%,8.45,1.69%
June 2025,Demand Gen,389459,2362,CAD,4430.05,4.60,"Purchase: 10,454.69",2.36,--,--,--,0.61%,1.88,0.19%
June 2025,Performance Max,1267558,8407,CAD,40679.92,98.02,"Purchase: 220,571.76",5.42,--,--,--,0.66%,4.84,1.17%
June 2025,Video,524851,71,CAD,2700.47,0.00,Purchase: 0.00,0.00,--,--,--,0.01%,38.03,0.00%
July 2025,Search,182921,11196,CAD,64004.24,172.86,"Purchase: 398,123.55",6.22,19.30%,29.08%,57.87%,6.12%,5.72,1.54%
July 2025,Shopping,310145,1770,CAD,11041.22,21.16,"Purchase: 49,062.83",4.44,--,--,--,0.57%,6.24,1.20%
July 2025,Demand Gen,602257,2816,CAD,3756.09,1.00,"Purchase: 2,494.05",0.66,--,--,--,0.47%,1.33,0.04%
July 2025,Performance Max,1675577,10545,CAD,41232.86,65.37,"Purchase: 156,098.27",3.79,--,--,--,0.63%,3.91,0.62%
July 2025,Video,545426,75,CAD,2700.51,0.00,Purchase: 0.00,0.00,--,--,--,0.01%,36.01,0.00%
August 2025,Search,182834,12576,CAD,77020.60,165.34,"Purchase: 371,912.87",4.83,15.19%,34.30%,54.88%,6.88%,6.12,1.31%
August 2025,Shopping,291590,1643,CAD,9930.60,17.11,"Purchase: 38,455.00",3.87,--,--,--,0.56%,6.04,1.04%
August 2025,Demand Gen,1039589,3370,CAD,3040.47,0.00,Purchase: 0.00,0.00,--,--,--,0.32%,0.90,0.00%
August 2025,Performance Max,2453154,18040,CAD,36016.94,45.28,"Purchase: 106,335.20",2.95,--,--,--,0.74%,2.00,0.25%
September 2025,Search,167687,10292,CAD,67729.54,98.82,"Purchase: 222,989.94",3.29,14.77%,14.53%,75.10%,6.14%,6.58,0.96%
September 2025,Shopping,249448,1519,CAD,9077.54,9.53,"Purchase: 23,819.43",2.62,--,--,--,0.61%,5.98,0.63%
September 2025,Demand Gen,1499860,4847,CAD,4978.37,0.00,Purchase: 0.00,0.00,--,--,--,0.32%,1.03,0.00%
September 2025,Performance Max,2768551,15335,CAD,31116.13,19.94,"Purchase: 43,189.63",1.39,--,--,--,0.55%,2.03,0.13%
