week,roas,cpa,meanRoas,upperControl,lowerControl,annotation,conversions
2025-15,2.2,1115.85,4.41,7.53,1.3,,17
2025-16,7.01,342.21,4.41,7.53,1.3,,50
2025-17,6.31,363.89,4.41,7.53,1.3,,51
2025-18,5.95,397.21,4.41,7.53,1.3,,48
2025-19,4.08,550.91,4.41,7.53,1.3,,42
2025-20,5.15,451.7,4.41,7.53,1.3,,56
2025-21,4.02,570.71,4.41,7.53,1.3,,46
2025-22,4.46,488.23,4.41,7.53,1.3,,51
2025-23,3.71,563.94,4.41,7.53,1.3,,49
2025-24,5.64,416.82,4.41,7.53,1.3,,65
2025-25,6.31,362.36,4.41,7.53,1.3,,63
2025-26,6.62,337.47,4.41,7.53,1.3,,67
2025-27,6.64,331.28,4.41,7.53,1.3,,73
2025-28,5.31,438.56,4.41,7.53,1.3,,71
2025-29,3.4,715.82,4.41,7.53,1.3,,39
2025-30,4.64,503.55,4.41,7.53,1.3,,56
2025-31,5.37,439.31,4.41,7.53,1.3,,52
2025-32,4.54,508.24,4.41,7.53,1.3,,49
2025-33,4.53,518.27,4.41,7.53,1.3,,51
2025-34,3.3,676.95,4.41,7.53,1.3,,50
2025-35,3.86,573.11,4.41,7.53,1.3,,54
2025-36,2.98,751.81,4.41,7.53,1.3,,44
2025-37,2.58,893.47,4.41,7.53,1.3,,29
2025-38,2.61,839.27,4.41,7.53,1.3,,32
2025-39,1.88,1239.67,4.41,7.53,1.3,,18
2025-40,1.68,1022.35,4.41,7.53,1.3,,1
